"Provincia","Red pública dentro de la vivienda","Red pública fuera de la vivienda, pero dentro de la edificación","Pilón o pileta de uso público","Camión - cisterna u otro similar","Pozo (agua subterránea)","Manantial o puquio","Río, acequia, lago, laguna","Otro","Vecino","Total","","","","","",""
" Tacna, provincia: Tarata","66.93%","1.49%","0.70%","-","13.82%","3.67%","13.12%","0.13%","0.13%","100.00%","","","","","",""
" Tumbes, provincia: Contralmirante Villar","62.51%","10.96%","6.14%","13.75%","2.63%","0.16%","0.11%","0.60%","3.15%","100.00%","","","","","",""
" Tumbes, provincia: Tumbes","72.60%","9.13%","4.11%","5.89%","0.75%","0.03%","3.43%","1.02%","3.05%","100.00%","","","","","",""
" Tumbes, provincia: Zarumilla","58.03%","16.89%","4.32%","13.94%","1.51%","-","0.88%","1.22%","3.21%","100.00%","","","","","",""
" Ucayali, provincia: Atalaya","26.09%","12.42%","5.53%","0.07%","13.83%","2.00%","39.12%","0.66%","0.29%","100.00%","","","","","",""
" Ucayali, provincia: Coronel Portillo","48.24%","14.25%","2.95%","0.97%","26.78%","0.03%","4.37%","0.40%","2.01%","100.00%","","","","","",""
" Ucayali, provincia: Padre Abad","48.48%","13.03%","5.22%","0.61%","16.77%","0.99%","13.62%","0.71%","0.58%","100.00%","","","","","",""
" Ucayali, provincia: Purús","0.29%","3.51%","-","-","71.01%","1.17%","23.87%","-","0.15%","100.00%","","","","","",""
" Total","67.06%","11.27%","4.70%","4.22%","7.30%","1.27%","3.24%","0.34%","0.60%","100.00%","","","","","",""
"","","","","","","","","","","","","","","","",""
"No Aplica :","00 000 002 434 950","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","",""
